,morality,leadership,caring,knowledgable,intelligent,honest,angry,hopeful,afraid,proud,voting_intention
1615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1616,2.0,2.0,3.0,2.0,2.0,2.0,-1.0,4.0,-1.0,-1.0,1.0
1617,5.0,5.0,4.0,5.0,4.0,4.0,-1.0,1.0,-1.0,1.0,1.0
1619,2.0,3.0,1.0,3.0,4.0,2.0,-1.0,-1.0,4.0,-1.0,0.0
1621,4.0,3.0,3.0,3.0,4.0,4.0,-1.0,4.0,-1.0,-1.0,1.0
1622,3.0,4.0,3.0,4.0,4.0,4.0,3.0,-1.0,-1.0,2.0,1.0
1623,3.0,3.0,1.0,5.0,5.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1624,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1626,5.0,5.0,5.0,4.0,5.0,4.0,-1.0,3.0,-1.0,3.0,1.0
1627,4.0,3.0,3.0,4.0,4.0,2.0,-1.0,4.0,-1.0,-1.0,1.0
1629,2.0,4.0,1.0,3.0,4.0,1.0,4.0,2.0,-1.0,2.0,1.0
1631,1.0,3.0,1.0,4.0,4.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1633,5.0,4.0,3.0,4.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1634,5.0,5.0,5.0,5.0,4.0,5.0,-1.0,1.0,-1.0,1.0,1.0
1637,2.0,1.0,1.0,3.0,4.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1639,2.0,3.0,1.0,2.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1640,2.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,2.0,-1.0,1.0
1641,4.0,4.0,3.0,4.0,4.0,3.0,-1.0,2.0,-1.0,4.0,1.0
1642,3.0,4.0,1.0,3.0,5.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0
1643,3.0,3.0,2.0,4.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,1.0
1644,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,3.0,-1.0,-1.0,1.0
1647,2.0,2.0,2.0,2.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1648,1.0,5.0,1.0,4.0,5.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
1650,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1651,2.0,2.0,2.0,3.0,3.0,2.0,4.0,-1.0,-1.0,-1.0,1.0
1653,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1654,5.0,4.0,4.0,4.0,4.0,5.0,-1.0,2.0,-1.0,3.0,1.0
1655,4.0,3.0,4.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,2.0,1.0
1657,3.0,3.0,5.0,4.0,5.0,3.0,-1.0,-1.0,-1.0,4.0,1.0
1658,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1659,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,1.0
1662,1.0,1.0,1.0,2.0,2.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1665,1.0,2.0,1.0,1.0,1.0,1.0,4.0,-1.0,3.0,-1.0,1.0
1671,4.0,4.0,3.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1672,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
1673,4.0,4.0,3.0,4.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0
1674,2.0,3.0,2.0,5.0,5.0,5.0,-1.0,4.0,-1.0,-1.0,1.0
1675,5.0,5.0,3.0,5.0,5.0,3.0,-1.0,3.0,-1.0,3.0,0.0
1677,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,-1.0,4.0,0.0
1678,3.0,4.0,1.0,4.0,4.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1679,4.0,3.0,3.0,4.0,4.0,3.0,-1.0,4.0,-1.0,3.0,1.0
1682,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,-1.0,4.0,1.0
1683,2.0,4.0,3.0,3.0,4.0,3.0,4.0,-1.0,4.0,-1.0,1.0
1684,5.0,5.0,4.0,5.0,5.0,5.0,-1.0,2.0,-1.0,-1.0,1.0
1685,5.0,5.0,5.0,5.0,4.0,4.0,-1.0,2.0,-1.0,1.0,1.0
1686,2.0,1.0,2.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0
1692,3.0,3.0,2.0,3.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1693,-8.0,1.0,1.0,1.0,1.0,-8.0,2.0,-1.0,2.0,-1.0,1.0
1694,5.0,4.0,4.0,4.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1695,4.0,4.0,2.0,4.0,4.0,4.0,-1.0,4.0,4.0,-1.0,1.0
1697,2.0,2.0,2.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1698,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1699,1.0,-8.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1701,3.0,2.0,1.0,2.0,2.0,2.0,4.0,-1.0,4.0,-1.0,1.0
1702,5.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,-1.0,-1.0,1.0
1703,3.0,3.0,1.0,2.0,3.0,2.0,4.0,-1.0,3.0,-1.0,0.0
1704,4.0,3.0,2.0,3.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,0.0
1706,5.0,5.0,3.0,5.0,5.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1708,3.0,5.0,4.0,5.0,5.0,5.0,-1.0,2.0,-1.0,-1.0,1.0
1709,4.0,4.0,4.0,4.0,4.0,3.0,-1.0,2.0,-1.0,4.0,1.0
1710,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1711,5.0,4.0,4.0,3.0,4.0,3.0,-1.0,2.0,-1.0,-1.0,0.0
1713,5.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,-1.0,1.0,0.0
1714,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,4.0,-1.0,4.0,0.0
1715,3.0,3.0,1.0,4.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,0.0
1716,4.0,2.0,1.0,2.0,5.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1717,5.0,4.0,4.0,4.0,5.0,5.0,-1.0,2.0,-1.0,-1.0,1.0
1719,4.0,4.0,3.0,3.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1720,3.0,4.0,3.0,4.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1721,4.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,-1.0,-1.0,0.0
1722,3.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0
1723,3.0,3.0,3.0,3.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1724,-8.0,1.0,2.0,3.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1726,-8.0,2.0,2.0,3.0,-8.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
1728,1.0,3.0,1.0,3.0,5.0,1.0,2.0,-1.0,1.0,-1.0,0.0
1730,4.0,3.0,4.0,5.0,5.0,4.0,-1.0,1.0,-1.0,-1.0,1.0
1732,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,3.0,-1.0,1.0
1737,3.0,2.0,1.0,3.0,4.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1738,3.0,3.0,1.0,5.0,4.0,3.0,4.0,-1.0,4.0,-1.0,1.0
1739,3.0,3.0,1.0,4.0,4.0,2.0,4.0,-1.0,-1.0,-1.0,0.0
1744,5.0,5.0,3.0,4.0,5.0,4.0,-1.0,2.0,-1.0,3.0,1.0
1745,2.0,3.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1746,1.0,1.0,1.0,1.0,4.0,1.0,3.0,-1.0,-1.0,-1.0,0.0
1747,5.0,5.0,3.0,4.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,1.0
1749,3.0,2.0,4.0,4.0,2.0,3.0,-1.0,2.0,-1.0,4.0,1.0
1752,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,-1.0,4.0,0.0
1753,2.0,2.0,2.0,1.0,1.0,1.0,-1.0,-1.0,4.0,4.0,1.0
1756,2.0,2.0,2.0,2.0,2.0,2.0,4.0,-1.0,-1.0,1.0,1.0
1757,-8.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,3.0,-1.0,1.0
1758,1.0,2.0,1.0,1.0,1.0,1.0,4.0,-1.0,4.0,-1.0,1.0
1760,1.0,3.0,3.0,3.0,4.0,2.0,-1.0,3.0,-1.0,-1.0,1.0
1761,2.0,5.0,2.0,3.0,4.0,2.0,-1.0,3.0,2.0,-1.0,1.0
1762,3.0,1.0,1.0,2.0,2.0,1.0,2.0,-1.0,1.0,-1.0,1.0
1763,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1764,5.0,4.0,2.0,4.0,5.0,5.0,-1.0,2.0,4.0,3.0,1.0
1767,-8.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0
1768,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,3.0,-1.0,3.0,0.0
1769,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,3.0,4.0,4.0,0.0
1770,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,1.0,-1.0,1.0
1771,2.0,1.0,1.0,2.0,2.0,1.0,3.0,-1.0,2.0,-1.0,1.0
1772,2.0,2.0,2.0,3.0,2.0,2.0,2.0,-1.0,2.0,-1.0,1.0
1775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1776,3.0,3.0,1.0,3.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1777,1.0,1.0,1.0,2.0,3.0,1.0,-1.0,-1.0,4.0,-1.0,0.0
1780,2.0,2.0,1.0,2.0,2.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1781,3.0,3.0,1.0,4.0,3.0,3.0,-1.0,4.0,3.0,-1.0,1.0
1783,-8.0,2.0,1.0,3.0,3.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
1784,1.0,1.0,1.0,4.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1785,1.0,1.0,1.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1786,1.0,1.0,1.0,3.0,5.0,5.0,1.0,-1.0,2.0,-1.0,1.0
1787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1788,3.0,2.0,1.0,3.0,2.0,1.0,2.0,-1.0,1.0,-1.0,1.0
1789,3.0,3.0,1.0,3.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1790,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1791,4.0,4.0,4.0,5.0,5.0,3.0,-1.0,3.0,-1.0,2.0,1.0
1793,2.0,1.0,1.0,3.0,3.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1796,1.0,1.0,1.0,3.0,3.0,1.0,3.0,-1.0,1.0,-1.0,1.0
1798,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,2.0,-1.0,-1.0,1.0
1800,-8.0,-8.0,-8.0,-8.0,1.0,1.0,-8.0,5.0,1.0,-1.0,1.0
1802,5.0,1.0,2.0,4.0,4.0,3.0,-1.0,2.0,4.0,-1.0,1.0
1803,1.0,1.0,1.0,4.0,4.0,1.0,-1.0,-1.0,2.0,-1.0,1.0
1804,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,2.0,-1.0,3.0,1.0
1805,1.0,2.0,1.0,3.0,3.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1806,1.0,1.0,1.0,1.0,-8.0,-9.0,-1.0,-1.0,4.0,-1.0,1.0
1807,3.0,2.0,1.0,2.0,2.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
1808,4.0,4.0,4.0,4.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,1.0
1810,1.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,1.0
1811,4.0,4.0,2.0,4.0,4.0,3.0,2.0,-1.0,3.0,-1.0,1.0
1812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1813,4.0,3.0,2.0,4.0,4.0,3.0,-1.0,2.0,-1.0,-1.0,0.0
1814,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,-1.0,-1.0,0.0
1815,1.0,1.0,1.0,3.0,2.0,1.0,4.0,-1.0,4.0,-1.0,1.0
1816,5.0,4.0,5.0,5.0,5.0,5.0,-1.0,2.0,2.0,-1.0,1.0
1817,1.0,1.0,1.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1818,1.0,3.0,2.0,3.0,3.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1828,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
1830,4.0,-8.0,3.0,4.0,4.0,3.0,4.0,4.0,-1.0,-1.0,1.0
1831,4.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,-1.0,0.0
1832,1.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1834,4.0,4.0,4.0,3.0,4.0,3.0,-1.0,2.0,-1.0,3.0,1.0
1836,1.0,1.0,1.0,5.0,3.0,5.0,2.0,-1.0,3.0,-1.0,1.0
1837,1.0,3.0,1.0,2.0,3.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1839,4.0,5.0,5.0,4.0,4.0,3.0,-1.0,3.0,-1.0,2.0,1.0
1840,5.0,4.0,4.0,4.0,5.0,5.0,-1.0,2.0,-1.0,3.0,1.0
1842,3.0,1.0,1.0,2.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1843,2.0,1.0,1.0,2.0,3.0,1.0,4.0,-1.0,1.0,-1.0,1.0
1845,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1847,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1849,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,1.0,-1.0,1.0,1.0
1850,2.0,2.0,1.0,2.0,4.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1852,3.0,1.0,1.0,2.0,3.0,1.0,4.0,-1.0,4.0,-1.0,1.0
1853,3.0,2.0,1.0,2.0,3.0,2.0,2.0,-1.0,1.0,-1.0,1.0
1854,5.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1855,3.0,1.0,1.0,1.0,3.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1857,5.0,4.0,4.0,4.0,4.0,5.0,-1.0,2.0,-1.0,3.0,1.0
1858,4.0,4.0,4.0,5.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1861,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,-1.0,1.0
1862,3.0,3.0,3.0,4.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
1863,3.0,4.0,3.0,4.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1864,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1868,3.0,3.0,1.0,1.0,3.0,-8.0,4.0,-1.0,5.0,-1.0,1.0
1869,5.0,4.0,3.0,4.0,4.0,4.0,-1.0,2.0,-1.0,3.0,1.0
1870,2.0,4.0,1.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1874,1.0,1.0,1.0,2.0,4.0,1.0,1.0,-1.0,4.0,-1.0,1.0
1875,1.0,1.0,1.0,3.0,3.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1878,1.0,2.0,1.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1879,3.0,3.0,1.0,3.0,5.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1880,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,2.0,-1.0,4.0,1.0
1881,2.0,3.0,1.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1882,3.0,2.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1883,4.0,5.0,1.0,3.0,4.0,2.0,2.0,-1.0,2.0,4.0,1.0
1884,4.0,4.0,2.0,3.0,4.0,3.0,-1.0,4.0,4.0,4.0,1.0
1885,1.0,1.0,2.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1888,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,-1.0,0.0
1889,4.0,4.0,3.0,4.0,4.0,4.0,-1.0,4.0,-1.0,-1.0,1.0
1892,1.0,3.0,1.0,3.0,3.0,1.0,3.0,-1.0,4.0,-1.0,0.0
1893,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.0,1.0
1894,4.0,4.0,1.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1895,5.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0,-1.0,4.0,0.0
1898,2.0,1.0,1.0,2.0,1.0,-8.0,3.0,-1.0,3.0,-1.0,1.0
1899,2.0,3.0,1.0,2.0,1.0,1.0,3.0,-1.0,4.0,-1.0,1.0
1901,2.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,-1.0,1.0
1902,3.0,3.0,1.0,3.0,4.0,2.0,2.0,-1.0,2.0,-1.0,0.0
1903,4.0,2.0,1.0,4.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,0.0
1906,2.0,2.0,-8.0,2.0,2.0,-8.0,-1.0,-1.0,-1.0,4.0,1.0
1908,3.0,2.0,2.0,4.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0
1909,2.0,1.0,1.0,3.0,4.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1911,4.0,3.0,3.0,3.0,4.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1912,3.0,3.0,2.0,5.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1917,-8.0,-8.0,1.0,3.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1920,3.0,4.0,4.0,4.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
1922,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,4.0,-1.0,-1.0,1.0
1923,2.0,3.0,2.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1924,5.0,5.0,4.0,5.0,5.0,4.0,-1.0,1.0,-1.0,2.0,1.0
1927,4.0,4.0,4.0,5.0,5.0,5.0,-1.0,1.0,-1.0,3.0,1.0
1928,2.0,4.0,2.0,4.0,4.0,1.0,2.0,-1.0,4.0,-1.0,0.0
1930,4.0,4.0,3.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,0.0
1931,2.0,2.0,1.0,2.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1933,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-1.0,1.0
1935,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,1.0,-1.0,2.0,1.0
1939,2.0,3.0,2.0,4.0,4.0,2.0,3.0,-1.0,4.0,-1.0,1.0
1940,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,3.0,-1.0,-1.0,1.0
1941,5.0,5.0,5.0,3.0,5.0,4.0,-1.0,2.0,-1.0,2.0,1.0
1942,2.0,2.0,1.0,2.0,3.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1943,5.0,5.0,2.0,4.0,5.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0
1946,3.0,-8.0,-8.0,-8.0,-8.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1947,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,-1.0,3.0,0.0
1949,5.0,5.0,4.0,4.0,5.0,4.0,-1.0,3.0,-1.0,-1.0,1.0
1952,4.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0
1954,5.0,3.0,3.0,3.0,3.0,3.0,-1.0,2.0,-1.0,-1.0,1.0
1955,5.0,5.0,3.0,5.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,1.0
1958,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,-1.0,4.0,1.0
1959,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,2.0,-1.0,2.0,1.0
1960,3.0,2.0,1.0,3.0,4.0,1.0,3.0,-1.0,-1.0,4.0,1.0
1962,3.0,2.0,4.0,3.0,4.0,3.0,-1.0,4.0,-1.0,-1.0,1.0
1965,3.0,1.0,1.0,3.0,2.0,2.0,-1.0,-1.0,2.0,4.0,1.0
1971,3.0,2.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0
1973,3.0,3.0,2.0,3.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0
1974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1975,3.0,4.0,3.0,4.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,1.0
1976,3.0,1.0,1.0,4.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1978,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,0.0
1981,3.0,4.0,4.0,5.0,5.0,4.0,-1.0,2.0,-1.0,-1.0,1.0
1982,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1983,3.0,4.0,3.0,4.0,4.0,3.0,-1.0,4.0,-1.0,3.0,1.0
1984,2.0,2.0,1.0,2.0,2.0,1.0,2.0,-1.0,4.0,-1.0,1.0
1987,3.0,4.0,2.0,3.0,4.0,3.0,-1.0,2.0,-1.0,3.0,1.0
1988,2.0,3.0,2.0,3.0,4.0,3.0,2.0,-1.0,4.0,-1.0,1.0
1989,1.0,1.0,1.0,3.0,3.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1991,2.0,3.0,1.0,3.0,3.0,2.0,2.0,-1.0,3.0,-1.0,1.0
1992,1.0,1.0,1.0,1.0,3.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
1993,-8.0,3.0,2.0,3.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,0.0
1996,3.0,2.0,1.0,2.0,3.0,1.0,-1.0,4.0,3.0,-1.0,1.0
1998,4.0,-8.0,-8.0,3.0,-8.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1999,2.0,2.0,1.0,1.0,2.0,1.0,2.0,-1.0,2.0,-1.0,1.0
2001,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,4.0,-1.0,1.0
2003,3.0,4.0,2.0,4.0,4.0,3.0,4.0,-1.0,-1.0,4.0,1.0
2004,1.0,3.0,1.0,3.0,3.0,1.0,2.0,-1.0,2.0,-1.0,1.0
2005,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,1.0,-1.0,4.0,1.0
2006,5.0,5.0,5.0,3.0,5.0,3.0,-1.0,2.0,-1.0,4.0,1.0
2008,4.0,2.0,3.0,4.0,5.0,2.0,-1.0,-1.0,5.0,-1.0,1.0
2010,2.0,2.0,2.0,2.0,3.0,1.0,4.0,-1.0,-1.0,-1.0,0.0
2013,5.0,3.0,1.0,5.0,5.0,1.0,2.0,-1.0,2.0,-1.0,1.0
2014,1.0,3.0,1.0,3.0,1.0,5.0,-1.0,-1.0,-1.0,-1.0,1.0
2016,3.0,2.0,1.0,2.0,3.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
2018,3.0,3.0,3.0,3.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,1.0
2019,1.0,1.0,1.0,-8.0,1.0,1.0,2.0,-1.0,3.0,-1.0,1.0
2020,-8.0,4.0,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
2023,3.0,2.0,1.0,2.0,3.0,2.0,1.0,-1.0,3.0,-1.0,1.0
2024,3.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,-1.0,-1.0,1.0
2025,5.0,5.0,5.0,4.0,5.0,4.0,-1.0,1.0,-1.0,2.0,1.0
2027,3.0,3.0,1.0,3.0,5.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
2028,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,-1.0,-1.0,1.0
2032,2.0,1.0,1.0,1.0,2.0,1.0,4.0,-1.0,2.0,-1.0,1.0
2034,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
2035,3.0,3.0,1.0,3.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
2036,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,3.0,-1.0,-1.0,1.0
2040,-8.0,4.0,4.0,4.0,4.0,3.0,-1.0,1.0,-1.0,4.0,1.0
2041,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0
2043,1.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,2.0,-1.0,1.0
2044,4.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
2045,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0
2047,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
2049,1.0,1.0,1.0,3.0,3.0,1.0,2.0,-1.0,4.0,-1.0,1.0
2050,1.0,2.0,2.0,1.0,1.0,1.0,3.0,-1.0,4.0,-1.0,1.0
2051,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0
2052,3.0,4.0,2.0,5.0,5.0,4.0,-1.0,1.0,-1.0,2.0,0.0
2054,2.0,2.0,1.0,3.0,4.0,1.0,3.0,-1.0,2.0,-1.0,1.0
2057,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,1.0
2058,2.0,3.0,1.0,4.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
2060,4.0,3.0,2.0,4.0,4.0,4.0,-1.0,3.0,-1.0,-1.0,1.0
2061,2.0,3.0,1.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
2062,1.0,1.0,2.0,2.0,2.0,2.0,3.0,-1.0,2.0,-1.0,1.0
2063,2.0,4.0,1.0,2.0,3.0,3.0,2.0,-1.0,3.0,-1.0,1.0
2064,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,1.0,-1.0,1.0,1.0
2066,2.0,1.0,1.0,2.0,2.0,1.0,3.0,-1.0,3.0,-1.0,1.0
