,morality,leadership,caring,knowledgable,intelligent,honest,angry,hopeful,afraid,proud,voting_intention
1316,1.0,1.0,1.0,3.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1317,2.0,1.0,1.0,2.0,2.0,2.0,-1.0,-1.0,4.0,-1.0,1.0
1318,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,5.0,-1.0,1.0
1319,2.0,2.0,1.0,2.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1320,1.0,1.0,1.0,1.0,3.0,1.0,3.0,-1.0,1.0,-1.0,1.0
1321,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,4.0,-1.0,1.0
1322,2.0,1.0,1.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1323,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,-1.0,1.0
1324,5.0,3.0,1.0,1.0,3.0,2.0,4.0,-1.0,2.0,-1.0,1.0
1325,1.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,2.0,-1.0,1.0
1326,4.0,3.0,3.0,3.0,3.0,4.0,4.0,-1.0,-1.0,4.0,1.0
1327,3.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,4.0,-1.0,1.0
1328,2.0,2.0,1.0,2.0,2.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1329,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1330,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
1331,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,3.0,-1.0,1.0
1332,4.0,2.0,1.0,3.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
1333,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,-1.0,4.0,1.0
1334,4.0,5.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,-1.0,1.0
1335,3.0,5.0,3.0,5.0,5.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1336,3.0,1.0,1.0,1.0,2.0,1.0,4.0,-1.0,4.0,-1.0,1.0
1337,3.0,2.0,2.0,3.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1338,3.0,4.0,2.0,4.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1339,5.0,-8.0,2.0,3.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
1340,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,-1.0,1.0
1341,2.0,3.0,1.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
1342,1.0,1.0,1.0,1.0,2.0,1.0,3.0,-1.0,4.0,-1.0,1.0
1343,1.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1344,5.0,5.0,3.0,5.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,1.0
1346,3.0,2.0,1.0,2.0,4.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1347,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,1.0
1348,2.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
1349,2.0,2.0,2.0,5.0,5.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
1350,2.0,5.0,2.0,1.0,-8.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1351,4.0,3.0,3.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,1.0
1352,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-1.0,1.0,-1.0,1.0
1353,3.0,2.0,3.0,3.0,3.0,2.0,4.0,-1.0,-1.0,-1.0,1.0
